phase,param,candidate,total_profit,day_-2,day_-1,day_0,OSMIUM_EMA_SPAN,OSMIUM_OBI_W,OSMIUM_DEV_W,OSMIUM_MICRO_W,OSMIUM_TAKE_MARGIN,OSMIUM_SIGNAL_THRESHOLD,OSMIUM_SIGNAL_SHIFT,OSMIUM_BASE_SIZE,OSMIUM_EXTREME_POS,PEPPER_POST_SIZE
baseline,baseline,baseline,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_EMA_SPAN,12,282159.0,93426.0,94483.0,94250.0,12,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_EMA_SPAN,18,282159.0,93426.0,94483.0,94250.0,18,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_EMA_SPAN,24,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_EMA_SPAN,30,282159.0,93426.0,94483.0,94250.0,30,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_EMA_SPAN,36,282159.0,93426.0,94483.0,94250.0,36,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_OBI_W,4.0,282159.0,93426.0,94483.0,94250.0,24,4.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_OBI_W,5.0,282159.0,93426.0,94483.0,94250.0,24,5.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_OBI_W,6.0,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_OBI_W,7.0,282159.0,93426.0,94483.0,94250.0,24,7.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_OBI_W,8.0,282159.0,93426.0,94483.0,94250.0,24,8.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_DEV_W,0.2,282159.0,93426.0,94483.0,94250.0,24,6.0,0.2,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_DEV_W,0.35,282159.0,93426.0,94483.0,94250.0,24,6.0,0.35,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_DEV_W,0.45,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_DEV_W,0.6,282159.0,93426.0,94483.0,94250.0,24,6.0,0.6,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_DEV_W,0.75,282159.0,93426.0,94483.0,94250.0,24,6.0,0.75,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_MICRO_W,0.0,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.0,0.75,0.9,1,24,60,24
pass_1,OSMIUM_MICRO_W,0.1,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.1,0.75,0.9,1,24,60,24
pass_1,OSMIUM_MICRO_W,0.15,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_MICRO_W,0.25,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.25,0.75,0.9,1,24,60,24
pass_1,OSMIUM_MICRO_W,0.35,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.35,0.75,0.9,1,24,60,24
pass_1,OSMIUM_TAKE_MARGIN,0.25,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.25,0.9,1,24,60,24
pass_1,OSMIUM_TAKE_MARGIN,0.5,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.5,0.9,1,24,60,24
pass_1,OSMIUM_TAKE_MARGIN,0.75,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_TAKE_MARGIN,1.0,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,1.0,0.9,1,24,60,24
pass_1,OSMIUM_TAKE_MARGIN,1.25,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,1.25,0.9,1,24,60,24
pass_1,OSMIUM_SIGNAL_THRESHOLD,0.5,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.5,1,24,60,24
pass_1,OSMIUM_SIGNAL_THRESHOLD,0.7,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.7,1,24,60,24
pass_1,OSMIUM_SIGNAL_THRESHOLD,0.9,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_SIGNAL_THRESHOLD,1.1,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,1.1,1,24,60,24
pass_1,OSMIUM_SIGNAL_THRESHOLD,1.3,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,1.3,1,24,60,24
pass_1,OSMIUM_SIGNAL_SHIFT,0,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,0,24,60,24
pass_1,OSMIUM_SIGNAL_SHIFT,1,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_SIGNAL_SHIFT,2,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,2,24,60,24
pass_1,OSMIUM_BASE_SIZE,16,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,16,60,24
pass_1,OSMIUM_BASE_SIZE,20,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,20,60,24
pass_1,OSMIUM_BASE_SIZE,24,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_BASE_SIZE,28,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,28,60,24
pass_1,OSMIUM_BASE_SIZE,32,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,32,60,24
pass_1,OSMIUM_EXTREME_POS,45,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,45,24
pass_1,OSMIUM_EXTREME_POS,55,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,55,24
pass_1,OSMIUM_EXTREME_POS,60,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,60,24
pass_1,OSMIUM_EXTREME_POS,65,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,65,24
pass_1,OSMIUM_EXTREME_POS,75,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,75,24
pass_1,PEPPER_POST_SIZE,0,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,60,0
pass_1,PEPPER_POST_SIZE,12,282159.0,93426.0,94483.0,94250.0,24,6.0,0.45,0.15,0.75,0.9,1,24,60,12
