product,day,timestamp,spectral_dev,spectral_slope,spectral_ratio,fwd5,trend_slope
ASH_COATED_OSMIUM,-2,13500,4.442534,-0.452365,0.659944,0.0,
ASH_COATED_OSMIUM,-2,13600,4.394414,-0.441699,0.655005,2.0,
ASH_COATED_OSMIUM,-2,13700,4.335538,-0.430943,0.648851,0.0,
ASH_COATED_OSMIUM,-2,13800,2.847985,-0.420629,0.651331,1.5,
ASH_COATED_OSMIUM,-2,13900,4.267476,-0.409311,0.645164,0.0,
ASH_COATED_OSMIUM,-2,14000,4.175964,-0.398307,0.641801,1.0,
ASH_COATED_OSMIUM,-2,14100,5.937176,-0.387092,0.627869,-3.0,
ASH_COATED_OSMIUM,-2,14200,3.85312,-0.37855,0.626405,-2.5,
ASH_COATED_OSMIUM,-2,14300,3.842957,-0.370808,0.617808,-1.0,
ASH_COATED_OSMIUM,-2,14400,3.469276,-0.361047,0.66103,-1.0,
ASH_COATED_OSMIUM,-2,14600,4.253084,-0.355264,0.666997,-3.0,
ASH_COATED_OSMIUM,-2,14800,2.224175,-0.352061,0.676587,-2.5,
ASH_COATED_OSMIUM,-2,14900,0.855952,-0.349475,0.680812,0.5,
ASH_COATED_OSMIUM,-2,15000,2.319326,-0.344344,0.688983,-1.0,
ASH_COATED_OSMIUM,-2,15100,2.332096,-0.339316,0.690642,-2.0,
ASH_COATED_OSMIUM,-2,15200,1.530595,-0.334559,0.688393,-1.0,
ASH_COATED_OSMIUM,-2,15300,0.167201,-0.327091,0.693763,0.5,
ASH_COATED_OSMIUM,-2,15400,1.712459,-0.31738,0.695889,-2.5,
ASH_COATED_OSMIUM,-2,15500,1.665033,-0.306332,0.705113,1.0,
ASH_COATED_OSMIUM,-2,15600,0.743266,-0.29593,0.710323,0.0,
ASH_COATED_OSMIUM,-2,15700,0.809923,-0.284354,0.713823,0.0,
ASH_COATED_OSMIUM,-2,15800,1.055402,-0.272692,0.712709,0.0,
ASH_COATED_OSMIUM,-2,15900,-0.350159,-0.257711,0.718266,0.5,
ASH_COATED_OSMIUM,-2,16000,3.03677,-0.240688,0.712402,-2.0,
ASH_COATED_OSMIUM,-2,16100,1.099059,-0.225562,0.710162,0.5,
ASH_COATED_OSMIUM,-2,16200,1.200303,-0.210093,0.706968,1.0,
ASH_COATED_OSMIUM,-2,16300,1.230516,-0.193486,0.703402,1.0,
ASH_COATED_OSMIUM,-2,16400,0.29873,-0.177063,0.70332,0.5,
ASH_COATED_OSMIUM,-2,16500,1.240817,-0.159784,0.701572,-1.0,
ASH_COATED_OSMIUM,-2,16600,1.74866,-0.143904,0.69547,-0.5,
ASH_COATED_OSMIUM,-2,16700,2.268453,-0.128641,0.686678,0.5,
ASH_COATED_OSMIUM,-2,16800,2.21877,-0.11359,0.677627,0.5,
ASH_COATED_OSMIUM,-2,16900,0.737315,-0.100181,0.674712,0.5,
ASH_COATED_OSMIUM,-2,17000,0.188444,-0.08719,0.675719,1.0,
ASH_COATED_OSMIUM,-2,17100,1.155335,-0.07574,0.671057,1.5,
ASH_COATED_OSMIUM,-2,17200,2.420697,-0.064695,0.664579,-1.5,
ASH_COATED_OSMIUM,-2,17300,2.233018,-0.057231,0.655788,-1.5,
ASH_COATED_OSMIUM,-2,17400,0.622803,-0.053058,0.656681,1.0,
ASH_COATED_OSMIUM,-2,17500,0.565254,-0.051299,0.655041,2.5,
ASH_COATED_OSMIUM,-2,17700,1.898193,-0.050637,0.649952,1.0,
ASH_COATED_OSMIUM,-2,17800,0.369823,-0.053266,0.648847,1.0,
ASH_COATED_OSMIUM,-2,18000,0.427347,-0.057525,0.648847,1.0,
ASH_COATED_OSMIUM,-2,18200,1.434768,-0.061846,0.645227,0.0,
ASH_COATED_OSMIUM,-2,18300,2.810506,-0.066223,0.632162,-0.5,
ASH_COATED_OSMIUM,-2,18400,2.774531,-0.072874,0.621618,-1.5,
ASH_COATED_OSMIUM,-2,18500,1.027372,-0.079387,0.637479,0.0,
ASH_COATED_OSMIUM,-2,18600,1.008296,-0.089772,0.634757,0.0,
ASH_COATED_OSMIUM,-2,18700,1.000083,-0.100636,0.632194,0.0,
ASH_COATED_OSMIUM,-2,18800,1.948264,-0.111454,0.624847,0.0,
ASH_COATED_OSMIUM,-2,18900,0.880395,-0.122616,0.626865,-0.5,
ASH_COATED_OSMIUM,-2,19000,1.015561,-0.135166,0.626865,0.0,
ASH_COATED_OSMIUM,-2,19200,0.970218,-0.145142,0.627455,-1.0,
ASH_COATED_OSMIUM,-2,19300,0.96212,-0.155175,0.626448,-0.5,
ASH_COATED_OSMIUM,-2,19400,1.908786,-0.164363,0.620337,-4.0,
ASH_COATED_OSMIUM,-2,19600,0.5831,-0.174313,0.620337,-0.5,
ASH_COATED_OSMIUM,-2,19700,1.182714,-0.181251,0.615805,-1.0,
ASH_COATED_OSMIUM,-2,19800,0.095842,-0.185249,0.634623,0.0,
ASH_COATED_OSMIUM,-2,19900,0.704051,-0.189845,0.631617,0.5,
ASH_COATED_OSMIUM,-2,20000,-1.548709,-0.192816,0.631059,2.0,
ASH_COATED_OSMIUM,-2,20100,0.53375,-0.191307,0.627939,0.0,
ASH_COATED_OSMIUM,-2,20200,0.612554,-0.187653,0.624282,0.0,
ASH_COATED_OSMIUM,-2,20300,0.685581,-0.181876,0.619514,0.0,
ASH_COATED_OSMIUM,-2,20400,1.696083,-0.173775,0.607784,-1.0,
ASH_COATED_OSMIUM,-2,20500,0.751741,-0.164506,0.601816,0.0,
ASH_COATED_OSMIUM,-2,20600,0.823653,-0.153548,0.595897,1.0,
ASH_COATED_OSMIUM,-2,20700,0.800658,-0.140278,0.589029,0.0,
ASH_COATED_OSMIUM,-2,20800,0.763467,-0.126082,0.582497,2.0,
ASH_COATED_OSMIUM,-2,20900,0.684036,-0.111054,0.577191,-4.0,
ASH_COATED_OSMIUM,-2,21000,0.67141,-0.096223,0.570184,1.0,
ASH_COATED_OSMIUM,-2,21100,1.588527,-0.08039,0.554513,-1.5,
ASH_COATED_OSMIUM,-2,21200,0.599225,-0.065123,0.549554,-4.5,
ASH_COATED_OSMIUM,-2,21300,2.539213,-0.048836,0.530083,-1.0,
ASH_COATED_OSMIUM,-2,21400,-3.345651,-0.0335,0.52583,4.0,
ASH_COATED_OSMIUM,-2,21500,1.752598,-0.016613,0.544136,-1.0,
ASH_COATED_OSMIUM,-2,21600,0.168615,0.002347,0.5393,0.5,
ASH_COATED_OSMIUM,-2,21800,-3.414212,0.018222,0.587641,3.0,
ASH_COATED_OSMIUM,-2,21900,1.936081,0.040859,0.572029,-2.0,
ASH_COATED_OSMIUM,-2,22000,0.792524,0.06192,0.564755,1.0,
ASH_COATED_OSMIUM,-2,22100,0.71144,0.081083,0.564755,1.0,
ASH_COATED_OSMIUM,-2,22200,0.557511,0.099505,0.560299,1.0,
ASH_COATED_OSMIUM,-2,22300,-1.031015,0.115739,0.561131,1.5,
ASH_COATED_OSMIUM,-2,22400,-0.716576,0.131136,0.561004,4.0,
ASH_COATED_OSMIUM,-2,22500,1.029994,0.144582,0.553976,-1.0,
ASH_COATED_OSMIUM,-2,22600,0.766016,0.155129,0.549657,-1.0,
ASH_COATED_OSMIUM,-2,22700,0.65856,0.16188,0.555348,-1.0,
ASH_COATED_OSMIUM,-2,22900,-0.508858,0.167418,0.555348,-1.5,
ASH_COATED_OSMIUM,-2,23000,2.183479,0.171602,0.544384,-4.0,
ASH_COATED_OSMIUM,-2,23200,-0.988349,0.171828,0.544384,-6.0,
ASH_COATED_OSMIUM,-2,23400,-1.15849,0.170142,0.544384,-1.0,
ASH_COATED_OSMIUM,-2,23500,-1.352497,0.166795,0.546788,-1.0,
ASH_COATED_OSMIUM,-2,23600,-2.877187,0.160751,0.53355,0.5,
ASH_COATED_OSMIUM,-2,23700,-2.423028,0.154689,0.524337,-1.5,
ASH_COATED_OSMIUM,-2,23800,-7.13446,0.146826,0.456835,5.0,
ASH_COATED_OSMIUM,-2,23900,-2.114592,0.143405,0.452851,-1.0,
ASH_COATED_OSMIUM,-2,24000,-2.091953,0.140634,0.448498,-1.0,
ASH_COATED_OSMIUM,-2,24100,-2.149342,0.139026,0.444215,-1.0,
ASH_COATED_OSMIUM,-2,24200,-3.541135,0.136703,0.431086,1.5,
ASH_COATED_OSMIUM,-2,24300,-2.014369,0.136507,0.428284,0.0,
ASH_COATED_OSMIUM,-2,24400,-2.879028,0.136781,0.423696,5.5,
ASH_COATED_OSMIUM,-2,24500,-2.581967,0.138333,0.447545,1.0,
ASH_COATED_OSMIUM,-2,24600,-2.399462,0.144041,0.458177,2.0,
ASH_COATED_OSMIUM,-2,24700,-1.252507,0.152379,0.48145,0.0,
ASH_COATED_OSMIUM,-2,24800,-1.30739,0.163732,0.482216,0.5,
ASH_COATED_OSMIUM,-2,24900,2.934903,0.17607,0.473568,-5.5,
ASH_COATED_OSMIUM,-2,25000,-1.477676,0.184701,0.485332,-1.0,
ASH_COATED_OSMIUM,-2,25100,-0.509479,0.195076,0.493822,-1.0,
ASH_COATED_OSMIUM,-2,25200,-1.496923,0.205141,0.498552,0.0,
ASH_COATED_OSMIUM,-2,25300,-1.022028,0.215591,0.505887,-0.5,
ASH_COATED_OSMIUM,-2,25400,-2.529996,0.225665,0.500324,1.0,
ASH_COATED_OSMIUM,-2,25500,-2.547819,0.23552,0.496126,0.0,
ASH_COATED_OSMIUM,-2,25600,-1.520351,0.244654,0.504973,-1.0,
ASH_COATED_OSMIUM,-2,25700,-1.419821,0.253228,0.533343,-1.0,
ASH_COATED_OSMIUM,-2,25800,-1.519665,0.263117,0.532073,-1.0,
ASH_COATED_OSMIUM,-2,25900,-1.627718,0.271327,0.530414,-1.0,
ASH_COATED_OSMIUM,-2,26100,-2.769429,0.277772,0.518655,0.0,
ASH_COATED_OSMIUM,-2,26200,-2.805865,0.281345,0.508334,-1.0,
ASH_COATED_OSMIUM,-2,26300,-2.871781,0.283613,0.494303,0.0,
ASH_COATED_OSMIUM,-2,26400,-2.938157,0.284074,0.480369,0.0,
ASH_COATED_OSMIUM,-2,26500,-2.83905,0.281863,0.476424,0.5,
ASH_COATED_OSMIUM,-2,26600,-2.819421,0.279705,0.466967,0.0,
ASH_COATED_OSMIUM,-2,26700,-3.741807,0.276144,0.446633,0.0,
ASH_COATED_OSMIUM,-2,26800,-2.796743,0.272633,0.433656,0.0,
ASH_COATED_OSMIUM,-2,27000,-2.791587,0.266967,0.41938,0.0,
ASH_COATED_OSMIUM,-2,27200,-2.306803,0.260125,0.41008,-0.5,
ASH_COATED_OSMIUM,-2,27300,-2.649639,0.251018,0.40721,-1.0,
ASH_COATED_OSMIUM,-2,27400,-3.620315,0.242797,0.386682,0.0,
ASH_COATED_OSMIUM,-2,27500,-2.581825,0.233632,0.373772,0.0,
ASH_COATED_OSMIUM,-2,27600,-2.588068,0.223941,0.36161,-1.0,
ASH_COATED_OSMIUM,-2,27700,-2.528794,0.212847,0.348541,2.0,
ASH_COATED_OSMIUM,-2,27800,-3.403325,0.201077,0.332427,1.5,
ASH_COATED_OSMIUM,-2,27900,-3.266414,0.189635,0.316727,2.5,
ASH_COATED_OSMIUM,-2,28000,-2.255332,0.179403,0.308741,-1.0,
ASH_COATED_OSMIUM,-2,28300,-3.09675,0.167965,0.296532,0.0,
ASH_COATED_OSMIUM,-2,28400,-0.091781,0.158304,0.299707,-3.5,
ASH_COATED_OSMIUM,-2,28500,-1.385373,0.14735,0.309217,-1.5,
ASH_COATED_OSMIUM,-2,28700,-0.333755,0.138867,0.316219,-3.0,
ASH_COATED_OSMIUM,-2,28800,-2.637242,0.130033,0.31422,0.0,
ASH_COATED_OSMIUM,-2,28900,-2.433701,0.123005,0.322707,0.0,
ASH_COATED_OSMIUM,-2,29100,-2.643073,0.117554,0.340964,-1.5,
ASH_COATED_OSMIUM,-2,29200,-1.986605,0.115654,0.355907,1.0,
ASH_COATED_OSMIUM,-2,29300,-2.384588,0.11568,0.358154,0.5,
ASH_COATED_OSMIUM,-2,29400,-1.729092,0.116626,0.378974,0.0,
ASH_COATED_OSMIUM,-2,29600,-1.576271,0.119301,0.398903,1.0,
ASH_COATED_OSMIUM,-2,29800,-3.373156,0.123431,0.412266,2.0,
ASH_COATED_OSMIUM,-2,29900,-0.42247,0.13095,0.417136,-1.0,
ASH_COATED_OSMIUM,-2,30000,-1.342341,0.137569,0.435684,0.0,
ASH_COATED_OSMIUM,-2,30100,-1.269808,0.145164,0.451719,0.0,
ASH_COATED_OSMIUM,-2,30200,-0.315115,0.154156,0.461411,0.0,
ASH_COATED_OSMIUM,-2,30300,-1.314419,0.162577,0.468552,0.0,
ASH_COATED_OSMIUM,-2,30400,-1.322232,0.171086,0.478059,0.0,
ASH_COATED_OSMIUM,-2,30500,-1.42054,0.179945,0.47793,1.0,
ASH_COATED_OSMIUM,-2,30600,-1.335335,0.186917,0.503676,0.0,
ASH_COATED_OSMIUM,-2,30700,-0.421912,0.195425,0.509419,-1.0,
ASH_COATED_OSMIUM,-2,30800,-1.461353,0.202714,0.515251,1.0,
ASH_COATED_OSMIUM,-2,30900,-1.507525,0.209445,0.517557,2.0,
ASH_COATED_OSMIUM,-2,31200,-0.669135,0.216034,0.51858,-1.0,
ASH_COATED_OSMIUM,-2,31300,-1.726133,0.220271,0.517101,0.0,
ASH_COATED_OSMIUM,-2,31400,-1.75917,0.223521,0.519811,1.0,
ASH_COATED_OSMIUM,-2,31500,-0.822148,0.226251,0.524481,-1.0,
ASH_COATED_OSMIUM,-2,31600,0.05842,0.228281,0.531155,3.0,
ASH_COATED_OSMIUM,-2,31700,-2.034177,0.228657,0.523791,1.0,
ASH_COATED_OSMIUM,-2,31800,-2.153221,0.227893,0.517397,1.0,
ASH_COATED_OSMIUM,-2,31900,-1.269977,0.225604,0.513208,4.5,
ASH_COATED_OSMIUM,-2,32000,-2.246233,0.221166,0.509383,1.0,
ASH_COATED_OSMIUM,-2,32100,2.508625,0.217929,0.507275,-2.5,
ASH_COATED_OSMIUM,-2,32200,-1.593885,0.211359,0.501164,1.0,
ASH_COATED_OSMIUM,-2,32300,-1.688559,0.203523,0.492613,0.5,
